Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
75520;1000024513893739200;63726205826998;(0.025, -0.102, 0.168);(358.879, 1.243, 2.042);VALID;0.0465031862258911, -0.0442534945905209, 0.997937440872192;0, 0, 0;VALID;0.0323821417987347, -0.0416869446635246, 0.998605847358704;-0.0294735506176949, 0, 0;0.205193817615509;VALID;0.0606146268546581, -0.046810906380415, 0.997062981128693;0.0294735506176949, 0, 0;0.182092621922493;2;1
75521;1000024513903715700;63726205827015;(0.025, -0.102, 0.168);(358.895, 1.247, 2.046);VALID;0.0433801598846912, -0.043447520583868, 0.998113453388214;0, 0, 0;VALID;0.0286344196647406, -0.0409162305295467, 0.998752176761627;-0.0294735506176949, 0, 0;0.207710310816765;VALID;0.0581161752343178, -0.0459690652787685, 0.997250914573669;0.0294735506176949, 0, 0;0.181927770376205;2;1
75522;1000024513913764500;63726205827032;(0.025, -0.102, 0.169);(358.904, 1.234, 2.058);VALID;0.0410524271428585, -0.0421702526509762, 0.998266696929932;0, 0, 0;VALID;0.0261396840214729, -0.0393852144479752, 0.998882114887238;-0.0294735506176949, 0, 0;0.206769913434982;VALID;0.0559557043015957, -0.0449455715715885, 0.997421085834503;0.0294735506176949, 0, 0;0.181977197527885;2;1
75523;1000024513923818200;63726205827032;(0.025, -0.102, 0.169);(358.904, 1.234, 2.058);VALID;0.0379850529134274, -0.0414690710604191, 0.998417496681213;0, 0, 0;VALID;0.0224753487855196, -0.0387045294046402, 0.998997926712036;-0.0294735506176949, 0, 0;0.208169728517532;VALID;0.0534853152930737, -0.0442233085632324, 0.997588932514191;0.0294735506176949, 0, 0;0.182179406285286;2;0.979251503944397
75524;1000024513933862000;63726205827049;(0.025, -0.102, 0.169);(358.914, 1.246, 2.071);VALID;0.0352223105728626, -0.040489487349987, 0.998558938503265;0, 0, 0;VALID;0.0191993210464716, -0.0379937179386616, 0.999093532562256;-0.0294735506176949, 0, 0;0.208169728517532;VALID;0.0512360259890556, -0.0429745949804783, 0.99776154756546;0.0294735506176949, 0, 0;0.181333377957344;2;0.964832901954651
75525;1000024513943880500;63726205827049;(0.025, -0.102, 0.169);(358.914, 1.246, 2.071);VALID;0.0326588861644268, -0.0396577566862106, 0.998679459095001;0, 0, 0;VALID;0.016353253275156, -0.0371536016464233, 0.999175727367401;-0.0294735506176949, 0, 0;0.20818904042244;VALID;0.0489556230604649, -0.0421511083841324, 0.997911155223846;0.0294735506176949, 0, 0;0.182315051555634;2;0.940510809421539
75526;1000024513953776600;63726205827065;(0.024, -0.102, 0.169);(358.928, 1.232, 2.066);VALID;0.0306143295019865, -0.038237888365984, 0.998799622058868;0, 0, 0;VALID;0.0139137040823698, -0.0358902253210545, 0.999258875846863;-0.0294735506176949, 0, 0;0.20818904042244;VALID;0.0473062433302403, -0.0405746698379517, 0.998055994510651;0.0294735506176949, 0, 0;0.181333377957344;2;0.909521162509918
75527;1000024513963817200;63726205827082;(0.024, -0.102, 0.170);(358.969, 1.249, 2.068);VALID;0.0292182322591543, -0.0373115874826908, 0.998876452445984;0, 0, 0;VALID;0.0127114774659276, -0.0349725037813187, 0.999307453632355;-0.0294735506176949, 0, 0;0.207809895277023;VALID;0.0457168594002724, -0.0396402962505817, 0.998167634010315;0.0294735506176949, 0, 0;0.181828007102013;2;0.895459234714508
75528;1000024513973813700;63726205827082;(0.024, -0.102, 0.170);(358.969, 1.249, 2.068);VALID;0.0277988519519567, -0.0365362837910652, 0.998945593833923;0, 0, 0;VALID;0.0113213201984763, -0.0341854132711887, 0.999351382255554;-0.0294735506176949, 0, 0;0.207694008946419;VALID;0.0442686788737774, -0.0388770215213299, 0.998262941837311;0.0294735506176949, 0, 0;0.181999608874321;2;0.880969285964966
75529;1000024513983970100;63726205827098;(0.024, -0.102, 0.170);(359.012, 1.247, 2.072);VALID;0.0270675010979176, -0.0359321311116219, 0.99898761510849;0, 0, 0;VALID;0.0108722876757383, -0.0335656628012657, 0.999377369880676;-0.0294735506176949, 0, 0;0.207851842045784;VALID;0.0432554595172405, -0.0382889658212662, 0.998330056667328;0.0294735506176949, 0, 0;0.182168260216713;2;0.876857995986938
75530;1000024513993945700;63726205827098;(0.024, -0.102, 0.170);(359.012, 1.247, 2.072);VALID;0.0267239380627871, -0.0356140173971653, 0.999008238315582;0, 0, 0;VALID;0.0112522970885038, -0.0334564484655857, 0.999376833438873;-0.0294735506176949, 0, 0;0.20796026289463;VALID;0.0421890541911125, -0.0377628915011883, 0.99839574098587;0.0294735506176949, 0, 0;0.18246890604496;2;0.876881539821625
75531;1000024514003925700;63726205827115;(0.024, -0.102, 0.170);(359.070, 1.264, 2.056);VALID;0.0263488460332155, -0.035194355994463, 0.999033093452454;0, 0, 0;VALID;0.0113867772743106, -0.0330339148640633, 0.999389350414276;-0.0294735506176949, 0, 0;0.207777664065361;VALID;0.0413048900663853, -0.0373467467725277, 0.998448371887207;0.0294735506176949, 0, 0;0.182059451937675;2;0.879182636737823
75532;1000024514013964000;63726205827132;(0.024, -0.102, 0.170);(359.089, 1.279, 2.050);VALID;0.0259598772972822, -0.034762479364872, 0.999058365821838;0, 0, 0;VALID;0.0115449475124478, -0.032549150288105, 0.999403476715088;-0.0294735506176949, 0, 0;0.207105845212936;VALID;0.0403692834079266, -0.0369684137403965, 0.99850070476532;0.0294735506176949, 0, 0;0.182515531778336;2;0.878629148006439
75533;1000024514023956200;63726205827132;(0.024, -0.102, 0.170);(359.089, 1.279, 2.050);VALID;0.0256849378347397, -0.0344285368919373, 0.999077081680298;0, 0, 0;VALID;0.0117819728329778, -0.0321753211319447, 0.999412775039673;-0.0294735506176949, 0, 0;0.207664027810097;VALID;0.0395828075706959, -0.0366749167442322, 0.99854302406311;0.0294735506176949, 0, 0;0.182795658707619;2;0.877842605113983
75534;1000024514033971400;63726205827148;(0.024, -0.102, 0.170);(359.088, 1.276, 2.048);VALID;0.0256341733038425, -0.0340164043009281, 0.99909245967865;0, 0, 0;VALID;0.0124057270586491, -0.0316262170672417, 0.999422788619995;-0.0294735506176949, 0, 0;0.207767069339752;VALID;0.0388579852879047, -0.0364004448056221, 0.998581528663635;0.0294735506176949, 0, 0;0.18236868083477;2;0.875169932842255
75535;1000024514044093400;63726205827148;(0.024, -0.102, 0.170);(359.088, 1.276, 2.048);VALID;0.0255320928990841, -0.033499862998724, 0.999112546443939;0, 0, 0;VALID;0.0127840945497155, -0.0307163167744875, 0.999446392059326;-0.0294735506176949, 0, 0;0.206523343920708;VALID;0.0382757410407066, -0.0362777002155781, 0.998608469963074;0.0294735506176949, 0, 0;0.183014839887619;2;0.86987441778183
75536;1000024514054074700;63726205827172;(0.024, -0.102, 0.171);(359.111, 1.302, 2.070);VALID;0.0253172796219587, -0.0332060344517231, 0.999127805233002;0, 0, 0;VALID;0.0131473867222667, -0.0302681941539049, 0.999455332756042;-0.0294735506176949, 0, 0;0.206523343920708;VALID;0.0374832004308701, -0.0361386649310589, 0.998643577098846;0.0294735506176949, 0, 0;0.182481035590172;2;0.865684807300568
75537;1000024514064048200;63726205827172;(0.024, -0.102, 0.171);(359.111, 1.302, 2.070);VALID;0.0250843446701765, -0.033153984695673, 0.999135434627533;0, 0, 0;VALID;0.0131783802062273, -0.0300288964062929, 0.999462127685547;-0.0294735506176949, 0, 0;0.206630721688271;VALID;0.0369865037500858, -0.0362740494310856, 0.998657166957855;0.0294735506176949, 0, 0;0.182481035590172;2;0.876417696475983
75538;1000024514074042800;63726205827188;(0.024, -0.102, 0.171);(359.171, 1.336, 2.080);VALID;0.0248479973524809, -0.0328505299985409, 0.999151349067688;0, 0, 0;VALID;0.0131837716326118, -0.0297139622271061, 0.999471485614777;-0.0294735506176949, 0, 0;0.207106232643127;VALID;0.0365085937082767, -0.0359822995960712, 0.998685359954834;0.0294735506176949, 0, 0;0.182526484131813;2;0.871346116065979
75540;1000024514094038900;63726205827205;(0.024, -0.102, 0.171);(359.188, 1.353, 2.074);VALID;0.0247983988374472, -0.0321328714489937, 0.999175906181335;0, 0, 0;VALID;0.0136722968891263, -0.0290117710828781, 0.999485552310944;-0.0294735506176949, 0, 0;0.206424966454506;VALID;0.035921186208725, -0.0352496765553951, 0.99873274564743;0.0294735506176949, 0, 0;0.182113751769066;2;0.922309398651123
75541;1000024514104065700;63726205827222;(0.024, -0.102, 0.171);(359.208, 1.359, 2.069);VALID;0.0246101673692465, -0.0326021760702133, 0.99916535615921;0, 0, 0;VALID;0.0135699650272727, -0.0296158734709024, 0.999469220638275;-0.0294735506176949, 0, 0;0.207972660660744;VALID;0.0356471501290798, -0.035584207624197, 0.998730719089508;0.0294735506176949, 0, 0;0.179889753460884;2;0.953160285949707
75542;1000024514114173900;63726205827222;(0.024, -0.102, 0.171);(359.208, 1.359, 2.069);VALID;0.0191618371754885, -0.0472268722951412, 0.998700380325317;0, 0, 0;VALID;0.00969024375081062, -0.04705660790205, 0.998845219612122;-0.0294735506176949, 0, 0;0.218826442956924;VALID;0.0286317095160484, -0.0473928935825825, 0.998465895652771;0.0294735506176949, 0, 0;0.180325165390968;2;0.774632692337036
75543;1000024514124178500;63726205827238;(0.024, -0.102, 0.171);(359.223, 1.385, 2.065);VALID;0.00599779235199094, -0.0838294550776482, 0.996462047100067;0, 0, 0;VALID;0.0011360184289515, -0.078051932156086, 0.996948659420013;-0.0294735506176949, 0, 0;0.213076680898666;VALID;0.0108592230826616, -0.0896021723747253, 0.995918452739716;0.0294735506176949, 0, 0;0.186055436730385;2;0.258541584014893
75544;1000024514134264700;63726205827255;(0.024, -0.102, 0.171);(359.248, 1.391, 2.069);VALID;-0.0136190773919225, -0.132988691329956, 0.99102395772934;0, 0, 0;VALID;-0.0129831731319427, -0.120941869914532, 0.992574691772461;-0.0294735506176949, 0, 0;0.215516448020935;VALID;-0.0142529653385282, -0.145015835762024, 0.989326655864716;0.0294735506176949, 0, 0;0.189059793949127;2;0
75545;1000024514144238300;63726205827255;(0.024, -0.102, 0.171);(359.248, 1.391, 2.069);VALID;-0.0282700546085835, -0.169089823961258, 0.985195100307465;0, 0, 0;VALID;-0.0255192443728447, -0.159955695271492, 0.986794292926788;-0.0294735506176949, 0, 0;0.216879338026047;VALID;-0.0310182198882103, -0.178208127617836, 0.983503818511963;0.0294735506176949, 0, 0;0.186284884810448;2;0
75546;1000024514154133800;63726205827272;(0.024, -0.102, 0.172);(359.275, 1.397, 2.062);VALID;-0.0399804450571537, -0.183831185102463, 0.982144415378571;0, 0, 0;VALID;-0.036657627671957, -0.174868524074554, 0.983909130096436;-0.0294735506176949, 0, 0;0.214413315057755;VALID;-0.043299488723278, -0.192776471376419, 0.98028689622879;0.0294735506176949, 0, 0;0.185843721032143;2;0
75547;1000024514164234400;63726205827272;(0.024, -0.102, 0.172);(359.275, 1.397, 2.062);VALID;-0.0472557209432125, -0.197352319955826, 0.979193031787872;0, 0, 0;VALID;-0.0444852411746979, -0.188114240765572, 0.981139183044434;-0.0294735506176949, 0, 0;0.214210137724876;VALID;-0.0500216260552406, -0.206571280956268, 0.977152049541473;0.0294735506176949, 0, 0;0.187947690486908;2;0
75548;1000024514174309900;63726205827290;(0.024, -0.102, 0.172);(359.300, 1.395, 2.059);VALID;-0.0533392690122128, -0.205078527331352, 0.977290987968445;0, 0, 0;VALID;-0.0511908680200577, -0.194460302591324, 0.979573726654053;-0.0294735506176949, 0, 0;0.214378640055656;VALID;-0.0554811358451843, -0.215671613812447, 0.974888503551483;0.0294735506176949, 0, 0;0.188182890415192;2;0
75549;1000024514184351000;63726205827290;(0.024, -0.102, 0.172);(359.300, 1.395, 2.059);VALID;-0.0571673959493637, -0.208042755723, 0.976447701454163;0, 0, 0;VALID;-0.055491853505373, -0.197584867477417, 0.978713870048523;-0.0294735506176949, 0, 0;0.213150843977928;VALID;-0.0588362328708172, -0.218476235866547, 0.974066972732544;0.0294735506176949, 0, 0;0.187567412853241;2;0
75550;1000024514194361800;63726205827308;(0.024, -0.102, 0.172);(359.338, 1.394, 2.076);VALID;-0.0590753108263016, -0.208537638187408, 0.976228535175323;0, 0, 0;VALID;-0.0581455379724503, -0.199349761009216, 0.978201806545258;-0.0294735506176949, 0, 0;0.212875321507454;VALID;-0.0599998161196709, -0.217706903815269, 0.974168241024017;0.0294735506176949, 0, 0;0.185881704092026;2;0
75551;1000024514204348500;63726205827308;(0.024, -0.102, 0.172);(359.338, 1.394, 2.076);VALID;-0.0601692497730255, -0.209673598408699, 0.975918352603912;0, 0, 0;VALID;-0.0591708719730377, -0.201038181781769, 0.977794706821442;-0.0294735506176949, 0, 0;0.213221356272697;VALID;-0.0611628666520119, -0.218292444944382, 0.973964869976044;0.0294735506176949, 0, 0;0.18613301217556;2;0
75552;1000024514214352700;63726205827327;(0.024, -0.101, 0.172);(359.371, 1.392, 2.065);VALID;-0.0604158639907837, -0.209310337901115, 0.975981116294861;0, 0, 0;VALID;-0.0601322278380394, -0.201944008469582, 0.977549374103546;-0.0294735506176949, 0, 0;0.213464647531509;VALID;-0.0606960691511631, -0.216664761304855, 0.974357426166534;0.0294735506176949, 0, 0;0.187079861760139;2;0
75553;1000024514224333100;63726205827346;(0.025, -0.101, 0.172);(359.411, 1.387, 2.061);VALID;-0.0608740709722042, -0.20993284881115, 0.975818932056427;0, 0, 0;VALID;-0.0606481395661831, -0.202225506305695, 0.977459251880646;-0.0294735506176949, 0, 0;0.21206122636795;VALID;-0.0610962212085724, -0.217627122998238, 0.974117875099182;0.0294735506176949, 0, 0;0.183384209871292;2;0
75554;1000024514234478000;63726205827346;(0.025, -0.101, 0.172);(359.411, 1.387, 2.061);VALID;-0.0615022890269756, -0.209921717643738, 0.975781917572021;0, 0, 0;VALID;-0.0612117238342762, -0.202028304338455, 0.977464914321899;-0.0294735506176949, 0, 0;0.21224270761013;VALID;-0.0617888383567333, -0.217801436781883, 0.974035263061523;0.0294735506176949, 0, 0;0.185497120022774;2;0
75555;1000024514244523100;63726205827386;(0.025, -0.101, 0.172);(359.517, 1.381, 2.056);VALID;-0.061035331338644, -0.21044659614563, 0.975698173046112;0, 0, 0;VALID;-0.0603133700788021, -0.200841620564461, 0.977765262126923;-0.0294735506176949, 0, 0;0.210223615169525;VALID;-0.0617513693869114, -0.220031142234802, 0.973536372184753;0.0294735506176949, 0, 0;0.186176910996437;2;0
75556;1000024514254463100;63726205827386;(0.025, -0.101, 0.172);(359.517, 1.381, 2.056);VALID;-0.061536330729723, -0.210635975003242, 0.975625813007355;0, 0, 0;VALID;-0.0606370866298676, -0.201071560382843, 0.977697968482971;-0.0294735506176949, 0, 0;0.213562175631523;VALID;-0.0624296367168427, -0.220180034637451, 0.973459422588348;0.0294735506176949, 0, 0;0.182995676994324;2;0
75557;1000024514264497000;63726205827386;(0.025, -0.101, 0.172);(359.517, 1.381, 2.056);VALID;-0.0620701760053635, -0.211120799183846, 0.975487232208252;0, 0, 0;VALID;-0.0611609481275082, -0.200106754899025, 0.977863311767578;-0.0294735506176949, 0, 0;0.209803938865662;VALID;-0.0629714801907539, -0.222107887268066, 0.972986459732056;0.0294735506176949, 0, 0;0.184509009122849;2;0
75558;1000024514274416900;63726205827386;(0.025, -0.101, 0.172);(359.517, 1.381, 2.056);VALID;-0.062065850943327, -0.211624398827553, 0.975378334522247;0, 0, 0;VALID;-0.0611742474138737, -0.19978903234005, 0.977927446365356;-0.0294735506176949, 0, 0;0.210442170500755;VALID;-0.0629483088850975, -0.223428577184677, 0.972685575485229;0.0294735506176949, 0, 0;0.184609964489937;2;0
75559;1000024514284461600;63726205827405;(0.025, -0.102, 0.172);(359.572, 1.344, 2.046);VALID;-0.062379252165556, -0.210752680897713, 0.975547075271606;0, 0, 0;VALID;-0.0613841041922569, -0.19913874566555, 0.978046894073486;-0.0294735506176949, 0, 0;0.209208235144615;VALID;-0.0633655339479446, -0.222336664795876, 0.972908616065979;0.0294735506176949, 0, 0;0.183070793747902;2;0
75560;1000024514294465400;63726205827405;(0.025, -0.102, 0.172);(359.572, 1.344, 2.046);VALID;-0.0623803474009037, -0.210826098918915, 0.975531160831451;0, 0, 0;VALID;-0.0612971931695938, -0.198830097913742, 0.978115141391754;-0.0294735506176949, 0, 0;0.209330946207047;VALID;-0.0634540393948555, -0.222790107131004, 0.972799122333527;0.0294735506176949, 0, 0;0.184560030698776;2;0
75561;1000024514304651400;63726205827425;(0.025, -0.102, 0.172);(359.645, 1.318, 2.025);VALID;-0.0624773949384689, -0.20995719730854, 0.975712358951569;0, 0, 0;VALID;-0.0613856017589569, -0.198116421699524, 0.978254437446594;-0.0294735506176949, 0, 0;0.208422362804413;VALID;-0.0635599568486214, -0.22176693379879, 0.973025977611542;0.0294735506176949, 0, 0;0.184739366173744;2;0
75562;1000024514314596800;63726205827425;(0.025, -0.102, 0.172);(359.645, 1.318, 2.025);VALID;-0.0623017773032188, -0.209354937076569, 0.975852966308594;0, 0, 0;VALID;-0.0610093772411346, -0.198021456599236, 0.978297173976898;-0.0294735506176949, 0, 0;0.210287138819695;VALID;-0.0635856986045837, -0.220659911632538, 0.97327595949173;0.0294735506176949, 0, 0;0.182601362466812;2;0
75563;1000024514324574700;63726205827446;(0.025, -0.102, 0.172);(359.759, 1.306, 2.011);VALID;-0.0624246262013912, -0.208731576800346, 0.97597861289978;0, 0, 0;VALID;-0.0611799843609333, -0.197513297200203, 0.978389263153076;-0.0294735506176949, 0, 0;0.208338603377342;VALID;-0.0636609494686127, -0.219922035932541, 0.973438024520874;0.0294735506176949, 0, 0;0.179826185107231;2;0
75564;1000024514334580000;63726205827446;(0.025, -0.102, 0.172);(359.759, 1.306, 2.011);VALID;-0.0625424459576607, -0.208221688866615, 0.976080000400543;0, 0, 0;VALID;-0.0612500309944153, -0.197142988443375, 0.978459537029266;-0.0294735506176949, 0, 0;0.208426117897034;VALID;-0.0638267248868942, -0.219273313879967, 0.973573505878448;0.0294735506176949, 0, 0;0.182100832462311;2;0.371620446443558
75565;1000024514344551900;63726205827468;(0.025, -0.102, 0.172);(359.903, 1.308, 1.969);VALID;-0.0614456459879875, -0.207758113741875, 0.976248443126678;0, 0, 0;VALID;-0.0603955425322056, -0.196876347064972, 0.978566348552704;-0.0294735506176949, 0, 0;0.211703613400459;VALID;-0.0624880753457546, -0.218613937497139, 0.973808586597443;0.0294735506176949, 0, 0;0.181945875287056;2;0.6275874376297
75566;1000024514354528000;63726205827468;(0.025, -0.102, 0.172);(359.903, 1.308, 1.969);VALID;-0.0542328543961048, -0.205377265810966, 0.977179110050201;0, 0, 0;VALID;-0.0518967285752296, -0.193124532699585, 0.979800820350647;-0.0294735506176949, 0, 0;0.207820922136307;VALID;-0.0565601661801338, -0.217596635222435, 0.974398612976074;0.0294735506176949, 0, 0;0.181963220238686;2;0.741935729980469
75567;1000024514364719400;63726205827490;(0.025, -0.102, 0.172);(0.056, 1.311, 1.949);VALID;-0.0379531607031822, -0.198737323284149, 0.979317665100098;0, 0, 0;VALID;-0.0368161834776402, -0.185554951429367, 0.981943964958191;-0.0294735506176949, 0, 0;0.207196161150932;VALID;-0.0390832312405109, -0.211883530020714, 0.976513147354126;0.0294735506176949, 0, 0;0.182134479284287;2;0.631706714630127
75568;1000024514374678700;63726205827490;(0.025, -0.102, 0.172);(0.056, 1.311, 1.949);VALID;-0.019255893304944, -0.19176273047924, 0.981252372264862;0, 0, 0;VALID;-0.0178262908011675, -0.178173929452896, 0.98383754491806;-0.0294735506176949, 0, 0;0.205594673752785;VALID;-0.0206817705184221, -0.205314472317696, 0.978477537631989;0.0294735506176949, 0, 0;0.181348651647568;2;0.414911478757858
75569;1000024514384747900;63726205827490;(0.025, -0.102, 0.172);(0.056, 1.311, 1.949);VALID;-0.00477534253150225, -0.185050755739212, 0.982717335224152;0, 0, 0;VALID;-0.00259921629913151, -0.170907452702522, 0.985283672809601;-0.0294735506176949, 0, 0;0.205555960536003;VALID;-0.00695045990869403, -0.199154943227768, 0.979943335056305;0.0294735506176949, 0, 0;0.18164898455143;2;0.213738173246384
75570;1000024514394722500;63726205827512;(0.025, -0.103, 0.173);(0.207, 1.284, 1.978);VALID;0.00746000837534666, -0.179448872804642, 0.983739018440247;0, 0, 0;VALID;0.0107140885666013, -0.165840178728104, 0.986094415187836;-0.0294735506176949, 0, 0;0.206665188074112;VALID;0.00420442642644048, -0.193021446466446, 0.981185555458069;0.0294735506176949, 0, 0;0.180691048502922;2;0.0434503369033337
75571;1000024514404725100;63726205827512;(0.025, -0.103, 0.173);(0.207, 1.284, 1.978);VALID;0.0147989960387349, -0.174483716487885, 0.98454886674881;0, 0, 0;VALID;0.0177986826747656, -0.161186173558235, 0.986763536930084;-0.0294735506176949, 0, 0;0.204447492957115;VALID;0.0117964865639806, -0.187747985124588, 0.982146382331848;0.0294735506176949, 0, 0;0.179699718952179;2;0
75572;1000024514414699000;63726205827536;(0.025, -0.103, 0.173);(0.420, 1.225, 1.997);VALID;0.0187704861164093, -0.170482814311981, 0.985181868076324;0, 0, 0;VALID;0.022029297426343, -0.15729358792305, 0.987306177616119;-0.0294735506176949, 0, 0;0.204284474253654;VALID;0.0155081246048212, -0.183639794588089, 0.982871294021606;0.0294735506176949, 0, 0;0.181162998080254;2;0
75573;1000024514424658300;63726205827536;(0.025, -0.103, 0.173);(0.420, 1.225, 1.997);VALID;0.0215387847274542, -0.167394056916237, 0.985654771327972;0, 0, 0;VALID;0.0251161158084869, -0.154017075896263, 0.987748920917511;-0.0294735506176949, 0, 0;0.203890144824982;VALID;0.017957229167223, -0.180738210678101, 0.983367264270782;0.0294735506176949, 0, 0;0.180902495980263;2;0
75574;1000024514434853400;63726205827561;(0.025, -0.104, 0.174);(0.524, 1.231, 1.881);VALID;0.0241311565041542, -0.164066463708878, 0.986154079437256;0, 0, 0;VALID;0.0272086691111326, -0.151104211807251, 0.98814332485199;-0.0294735506176949, 0, 0;0.203938230872154;VALID;0.0210492666810751, -0.176998928189278, 0.983985900878906;0.0294735506176949, 0, 0;0.179416880011559;2;0
